Name,Profile on Steam,Image,Homepage,Description,Users' Review,Metacritic Score (out of 100),Number of Reviews,Price,Rating,Features,Popular Tags,Number of Players,Genre,Developer,Publisher,Release Date,Release Year,Supported OS,Details on Supported OS
Beyond Good and Evil™,http://store.steampowered.com/app/15130/?snr=1_1050_1052__1050,http://cdn.akamai.steamstatic.com/steam/apps/15130/header.jpg?t=1307478815,http://beyondgoodevil.com,"For centuries, the planet Hyllis has been bombarded by a relentless alien race. Skeptical of her government's inability to repel the invaders, a rebellious action reporter named Jade sets out to capture the truth.",Very Positive,,577,$4.99,Teen,,"Adventure, Action, Female Protagonist, Third Person, Cult Classic, Stealth, Classic, Singleplayer, Sci-fi, Action-Adventure, Great Soundtrack, Story Rich, Open World, Platformer",Single-player,"Action, Adventure",Ubisoft,Ubisoft ,11/11/2003,2003,Windows,"Windows 2000, Windows XP"
Mirror's Edge™,http://store.steampowered.com/app/17410/?snr=1_1050_1052__1050,http://cdn.akamai.steamstatic.com/steam/apps/17410/header.jpg?t=1406228176,http://www.mirrorsedge.com/,"In a city where information is heavily monitored, agile couriers called Runners transport sensitive data away from prying eyes. In this seemingly utopian paradise, a crime has been committed, your sister has been framed and now you are being hunted.",Very Positive,81,"8,002",$9.99,Teen,"Partial Controller Support, Full controller support","Parkour, First-Person, Action, Female Protagonist, Singleplayer, Platformer, Great Soundtrack, Adventure, Dystopian, Atmospheric, Stylized, Sci-fi, Time Attack, Cyberpunk, Puzzle, FPS, Colorful, Futuristic, Classic, Short",Single-player,"Action, Adventure",DICE,Electronic Arts ,13/01/2009,2009,Windows,"Windows XP SP2, Windows Vista"
Superbrothers: Sword & Sworcery EP,http://store.steampowered.com/app/204060/?snr=1_1050_1052__1050,http://cdn.akamai.steamstatic.com/steam/apps/204060/header.jpg?t=1354530680,http://www.swordandsworcery.com,"Traverse a mythic little realm, use a sword to do battle & evoke sworcery to solve mystical musical mysteries.",Very Positive,,"1,303",$5.99,,"Steam Achievements, Steam Cloud","Adventure, Indie, Point & Click, Great Soundtrack, Pixel Graphics, Atmospheric, Female Protagonist, Singleplayer, Fantasy, Puzzle, Relaxing, Casual, 2D, Touch-Friendly, Retro, Music, Exploration, Story Rich",Single-player,"Adventure, Indie","Capybara, Superbrothers, Jim Guthrie",Capybara Games ,16/04/2012,2012,"Linux, Mac, Windows","OS X Leopard 10.5.8, OS X Snow Leopard 10.6.3  or later, Windows XP, Windows Vista, Windows 7, Ubuntu 10.10"
Thomas Was Alone,http://store.steampowered.com/app/220780/?snr=1_1050_1051__1050,http://cdn.akamai.steamstatic.com/steam/apps/220780/header.jpg?t=1411782828,www.thomaswasalone.com,"Guide a group of rectangles through a series of obstacles, using their different skills together to get to the end of each environment.",Overwhelmingly Positive,77,"4,853",$7.99,,"Steam Achievements, Partial Controller Support, Full controller support","Platformer, Indie, Narration, Minimalist, Puzzle, Great Soundtrack, Puzzle-Platformer, Story Rich, Atmospheric, 2D, Funny, Singleplayer, Family Friendly, Comedy, Casual, Adventure, Short, Sci-fi",Single-player,Indie,Mike Bithell,Mike Bithell ,12/11/2012,2012,"Mac, Windows","OS X Leopard 10.5, Windows XP"
Papo & Yo,http://store.steampowered.com/app/227080/?snr=1_1050_1051__1050,http://cdn.akamai.steamstatic.com/steam/apps/227080/header.jpg?t=1388472700,http://www.weareminority.com/papo-yo/,"Quico’s best friend, Monster, is a huge beast with razor-sharp teeth, but that doesn’t scare Quico away from playing with him. That said, Monster does have a very dangerous problem: an addiction to poisonous frogs.",Overwhelmingly Positive,,"1,424",$12.99,,"Steam Achievements, Steam Cloud, Full controller support","Indie, Adventure, Puzzle, Platformer, Singleplayer, Great Soundtrack, 3D Platformer, Short, Story Rich, Third Person, Fantasy",Single-player,"Adventure, Indie",Minority Media Inc.,Minority Media ,18/04/2013,2013,Windows,"Windows XP, Windows Vista, Windows 7"
Gone Home,http://store.steampowered.com/app/232430/?snr=1_1050_1052__1050,http://cdn.akamai.steamstatic.com/steam/apps/232430/header.jpg?t=1405362802,http://www.gonehomegame.com,"June 7th, 1995. 1:15 AM You arrive home after a year abroad. You expect your family to greet you, but the house is empty. Something's not right. Where is everyone? And what's happened here? Unravel the mystery for yourself in Gone Home, a story exploration game from The Fullbright Company.",Mostly Positive,86,"9,749",$19.99,,"Commentary available, Captions available, Full controller support, Steam Trading Cards","Walking Simulator, Short, Indie, Exploration, Atmospheric, First-Person, Story Rich, Female Protagonist, Adventure, Singleplayer, Great Soundtrack, Interactive Fiction, 1990's, Mystery, Narration, Romance, Point & Click, Realistic, Relaxing, Simulation",Single-player,"Adventure, Indie",The Fullbright Company,The Fullbright Company ,15/08/2013,2013,"Linux, Mac, Windows","Windows XP SP2 or later, OS X Lion or later, glibc 2.11 or later"
Broken Age,http://store.steampowered.com/app/232790/?snr=1_1050_1051__1050,http://cdn.akamai.steamstatic.com/steam/apps/232790/header.jpg?t=1417058153,http://brokenagegame.com/,"The first graphic adventure by Tim Schafer in sixteen years, Broken Age began two years ago in a historic, record-breaking Kickstarter campaign. Now it's here in all its beautiful, 2D, hand-painted glory, with an original orchestral soundtrack and an all-star vocal cast.",Very Positive,82,"3,322",$22.99,,"Steam Cloud, Full controller support, Steam Trading Cards","Point & Click, Adventure, Indie, Kickstarter, Comedy, Story Rich, Casual, Female Protagonist, Funny, Crowdfunded, Episodic, Great Soundtrack, Sci-fi, Short, Singleplayer, Puzzle, 2D, Fantasy, Hand-drawn, Touch-Friendly",Single-player,"Adventure, Casual, Indie",Double Fine Productions,Double Fine Productions ,28/01/2014,2014,"Mac, Windows","OS X Snow Leopard 10.6.8 or later, Windows XP"
Aquaria,http://store.steampowered.com/app/24420/?snr=1_1050_1051__1050,http://cdn.akamai.steamstatic.com/steam/apps/24420/header.jpg?t=1405123991,http://bit-blot.com/aquaria,"Aquaria is an award-winning action-adventure game set in a massive underwater world teeming with life and filled with ancient secrets. Join Naija, a lone underwater adventurer, as she travels from hidden caves shrouded in darkness, to beautiful, sunlit oases in search of her past.",Very Positive,82,550,$9.99,,"Steam Achievements, Partial Controller Support        ","Metroidvania, Indie, Exploration, Female Protagonist, Adventure, Great Soundtrack, 2D, Underwater, Singleplayer, Action, Fantasy, Platformer, Side Scroller, Atmospheric",Single-player,Indie,Bit Blot,"Bit Blot, LLC ",07/12/2007,2007,Windows,"Windows 2000, Windows XP, Windows Vista"
Where is my Heart?,http://store.steampowered.com/app/244950/?snr=1_1050_1051__1050,http://cdn.akamai.steamstatic.com/steam/apps/244950/header.jpg?t=1401378696,http://whereismyheartgame.com/,In Where is my Heart? you play the story of a family of forest spirits. The family lives comfortably in a tree in the woods until one day they lose their home and thus embark on a great adventure. Their journey will take them through the mushroom caves and even deeper down to the lifeless crystal pools and back up into the mountains.,Positive,74,38,$7.99,,Steam Achievements,"Indie, Casual, Adventure, Puzzle, Pixel Graphics, Platformer, Cute",Single-player,"Adventure, Casual, Indie",Schulenburg Software,Die Gute Fabrik ,29/05/2014,2014,Mac,"OS X Snow Leopard 10.6 or later, Windows XP, Windows Vista, Windows 7, Windows 8"
TowerFall Ascension,http://store.steampowered.com/app/251470/?snr=1_1050_1051__1050,http://cdn.akamai.steamstatic.com/steam/apps/251470/header.jpg?t=1418164329,http://www.towerfall-game.com,"TowerFall Ascension is the definitive version of the hit archery combat game. Inspired by classics from the golden age of couch multiplayer, it's a 4-player local party game centering around hilarious, intense versus matches. The core mechanics are simple and accessible, but hard to master and combat is fierce.",Very Positive,87,484,$14.99,,"Steam Achievements, Steam Cloud, Stats, Full controller support","Local Multiplayer, Indie, Action, Local Co-Op, Platformer, Pixel Graphics, Multiplayer, 4 Player Local, 2D, Arcade, Fighting, Co-op, Adventure, Controller","Single-player, Local Co-op","Action, Indie",Matt Thorson,Matt Makes Games Inc. ,11/03/2014,2014,"Mac, Windows","OS X Snow Leopard 10.6.8, Windows XP, Windows Vista, Windows 7, Windows 8"
